trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9950041652780257}",25,0,-12.896625682788141,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
2,False,"{'a': 0.1, 'e': 0.9800665778412416}",20,0,-55.826600237365106,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.1, 'e': 0.955336489125606}",20,1,-196.59573888432539,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 3}",1
4,False,"{'a': 0.1, 'e': 0.9210609940028851}",25,0,-199.58282364045914,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
5,False,"{'a': 0.1, 'e': 0.8775825618903728}",20,0,-48.59710900988099,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.1, 'e': 0.8253356149096782}",20,0,-94.69014644730305,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.7648421872844884}",20,6,-77.25790416727652,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 1}",1
8,False,"{'a': 0.1, 'e': 0.6967067093471655}",20,14,-30.72331869191281,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.1, 'e': 0.6216099682706645}",25,0,-27.534850054879314,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.5403023058681398}",35,0,-14.742912502672157,"{0: 29, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.1, 'e': 0.4535961214255773}",20,2,-68.64157352794683,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
12,False,"{'a': 0.1, 'e': 0.3623577544766734}",20,0,-42.03781630540096,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.26749882862458735}",20,10,-56.53551644755261,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
14,False,"{'a': 0.1, 'e': 0.16996714290024081}",20,11,19.229862944129145,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.1, 'e': 0.0707372016677029}",30,15,-19.32277013380792,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.1, 'e': 0.029199522301288815}",25,2,34.59557839234981,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.1, 'e': 0.12884449429552486}",20,13,1.6679653547814006,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.1, 'e': 0.2272020946930871}",20,15,7.336902479604887,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.1, 'e': 0.3232895668635036}",20,7,-115.05043316091543,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 3}",1
20,False,"{'a': 0.1, 'e': 0.4161468365471424}",20,0,-14.098782746055724,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
