trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,0,-96.68472075056128,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,-51.511564055912274,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.22313016014842982}",25,0,-83.8309970234801,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,0,-133.41195894043034,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,0,12.889441674564816,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,8,10.597066081103637,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.0301973834223185}",30,16,21.99078360757632,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.01831563888873418}",25,0,-14.315203064667955,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.011108996538242306}",25,15,17.437019861647467,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.006737946999085467}",25,0,-12.272166197749897,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.004086771438464067}",25,7,-19.0454767821078,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.0024787521766663585}",20,0,0.8806432593791214,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.0015034391929775724}",25,0,-59.851263121324585,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.0009118819655545162}",20,16,7.651707701569177,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.0005530843701478336}",25,10,8.891278121065179,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.00033546262790251185}",20,0,-16.200832064022933,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.00020346836901064417}",25,0,15.206705045883457,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.00012340980408667956}",30,5,22.329863642378196,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",20,6,22.820409661669185,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 4.5399929762484854e-05}",20,0,-72.1697456916641,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,17.41942457304289,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-7.396896390377851,"{0: 27, 1: 1, 2: 0, 3: 2, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-17.306569252054373,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,21.063391065721596,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",35,20,-51.882200879473984,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,26.71947114308546,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,11,-26.710095837211455,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,16.066564394448868,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,23.69058281984686,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,35.51525953978463,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
