trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",30,0,-147.79737274844445,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",35,0,-250.90906997823294,"{0: 18, 1: 4, 2: 8, 3: 1, 4: 4}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,3,-72.99627298683669,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 1}",1
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-57.40684133922949,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",35,0,-141.1918035598599,"{0: 22, 1: 4, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-62.78999276785233,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-112.19182254717448,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-72.84078767616369,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",35,0,-108.69231140460937,"{0: 19, 1: 8, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-114.23341381409871,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-147.36733809230918,"{0: 17, 1: 4, 2: 5, 3: 3, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",35,0,-261.5634181833389,"{0: 18, 1: 6, 2: 5, 3: 2, 4: 4}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-135.91044166919895,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-70.80247906385684,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",30,0,-147.75895373058353,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",30,0,-146.43135213206554,"{0: 17, 1: 0, 2: 11, 3: 1, 4: 1}",0
