trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-36.53966252764673,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681398}",30,0,-126.24781632595901,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",20,0,-123.34838716223223,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",25,0,-179.33742411600366,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",20,0,-43.71650779392668,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",20,0,-116.37479322737714,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",20,0,-130.10016084019824,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",20,0,-166.27733788680897,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.21079579943077972}",30,9,-40.41692227189652,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.2836621854632263}",25,0,-102.45361161083171,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.70866977429126}",25,0,-33.48754913374556,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9601702866503661}",30,0,-171.6099012754299,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",25,0,-95.37160165176064,"{0: 17, 1: 5, 2: 0, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",25,0,-162.62361775837152,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",25,2,-175.41267886896216,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",25,0,-101.90064969548457,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",25,0,-200.1062780100283,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",20,0,-167.75688486449386,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",20,13,-5.387348041141774,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",25,0,-80.56526234321015,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-149.26707750711216,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
